Sample_Pair,Algorithm,Hamming,Clustered,Unclustered,Total,Ratio,Time_sec,Memory_MB,N_Clusters
NA12882_NA12885,DBSCAN,No,648,1906,2554,0.25371965544244324,0.016936302185058594,0.0,291
NA12882_NA12885,DBSCAN,Yes,648,1906,2554,0.25371965544244324,0.05332660675048828,0.0,553
NA12882_NA12885,OPTICS,No,111,2443,2554,0.04346123727486296,0.2635068893432617,0.0,47
NA12882_NA12885,OPTICS,Yes,111,2443,2554,0.04346123727486296,0.26859569549560547,0.0,96
NA12882_NA12885,INTERVAL_TREE,No,2554,0,2554,1.0,0.24958133697509766,0.0,1221
NA12882_NA12885,INTERVAL_TREE,Yes,2554,0,2554,1.0,0.34564828872680664,0.0,1428
NA12882_NA12885,OVERLAP,No,2554,0,2554,1.0,2.666898727416992,0.0,1248
NA12882_NA12885,OVERLAP,Yes,2554,0,2554,1.0,2.7809133529663086,0.0,1447
NA12882_NA12886,DBSCAN,No,674,1896,2570,0.2622568093385214,0.016902685165405273,0.0,303
NA12882_NA12886,DBSCAN,Yes,674,1896,2570,0.2622568093385214,0.05305671691894531,0.0,579
NA12882_NA12886,OPTICS,No,129,2441,2570,0.05019455252918288,0.2653663158416748,0.0,56
NA12882_NA12886,OPTICS,Yes,129,2441,2570,0.05019455252918288,0.2723102569580078,0.0,112
NA12882_NA12886,INTERVAL_TREE,No,2570,0,2570,1.0,0.2538719177246094,0.0,1199
NA12882_NA12886,INTERVAL_TREE,Yes,2570,0,2570,1.0,0.34875059127807617,0.0,1399
NA12882_NA12886,OVERLAP,No,2570,0,2570,1.0,2.6966426372528076,0.0,1228
NA12882_NA12886,OVERLAP,Yes,2570,0,2570,1.0,2.796929121017456,0.0078125,1417
NA12885_NA12886,DBSCAN,No,644,1884,2528,0.254746835443038,0.016407251358032227,0.0,290
NA12885_NA12886,DBSCAN,Yes,644,1884,2528,0.254746835443038,0.052124977111816406,0.0,558
NA12885_NA12886,OPTICS,No,120,2408,2528,0.04746835443037975,0.2586226463317871,0.0,50
NA12885_NA12886,OPTICS,Yes,120,2408,2528,0.04746835443037975,0.2659611701965332,0.0,103
NA12885_NA12886,INTERVAL_TREE,No,2528,0,2528,1.0,0.25252437591552734,0.0,1166
NA12885_NA12886,INTERVAL_TREE,Yes,2528,0,2528,1.0,0.3480501174926758,0.0,1347
NA12885_NA12886,OVERLAP,No,2528,0,2528,1.0,2.6089162826538086,0.0,1192
NA12885_NA12886,OVERLAP,Yes,2528,0,2528,1.0,2.705599546432495,0.0,1364
